Barcode_i	Barcode_j	Condition1	Condition2	Z_Condition1	Z_Condition2	GI_Condition1	GI_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaGI	DeltaZ_FDR
CSM3	RAD51	ZEOC	CMPT	-1.18900570895192	17.5661013989745	-0.0107108912125085	0.210521393506895	NEUTRAL	ALLEVIATING	-14.7561041702563	-0.221232284719403	7.50970012577164e-06
MMS1	RAD51	ZEOC	CMPT	-2.25252123540816	12.0319864951414	-0.024761614320466	0.196402194597048	NEUTRAL	ALLEVIATING	-11.2381200924436	-0.221163808917514	0.000526893541914911
MMS4	RAD51	ZEOC	CMPT	-0.979953495824666	13.2146698587522	-0.00958627548836432	0.171488580335429	NEUTRAL	ALLEVIATING	-11.1422557781445	-0.181074855823793	0.000577532654177039
MUS81	RAD51	ZEOC	CMPT	0.497508346341356	11.1376835570109	0.00621705167974851	0.610427385517308	NEUTRAL	ALLEVIATING	-10.7484031284217	-0.604210333837559	0.000886023048636806
CLA4	RAD54	ZEOC	CMPT	6.57847687629191	17.6635094126103	0.045281199432053	0.159098881368811	NEUTRAL	ALLEVIATING	-10.0402259204658	-0.113817681936758	0.00175511446756717
CSM3	RAD54	ZEOC	CMPT	4.29191468383865	25.7502157953588	0.0263964423480528	0.230758679889099	NEUTRAL	ALLEVIATING	-18.802474028798	-0.204362237541046	5.62622599431283e-09
MMS1	RAD54	ZEOC	CMPT	-1.26107375151433	20.2287490298614	-0.00965914165197965	0.22519661881356	NEUTRAL	ALLEVIATING	-17.380045532986	-0.23485576046554	8.73672635750213e-08
MMS4	RAD54	ZEOC	CMPT	-1.86699093478083	22.7828721518984	-0.0137697085792213	0.222626235194132	NEUTRAL	ALLEVIATING	-19.3093157829265	-0.236395943773353	2.79696934263086e-09
MUS81	RAD54	ZEOC	CMPT	-6.94672031787166	11.465755036703	-0.0629138487456206	0.515232140995827	NEUTRAL	ALLEVIATING	-12.6122129137491	-0.578145989741447	0.000116557925252537
CLA4	RAD55	ZEOC	CMPT	5.3820265774001	14.2790073272339	0.0466004917466069	0.171793976233068	NEUTRAL	ALLEVIATING	-8.44590531772088	-0.125193484486461	0.00734291024114378
CSM3	RAD55	ZEOC	CMPT	-0.352019181362282	20.6435753586459	-0.00265882194735674	0.227012972434247	NEUTRAL	ALLEVIATING	-17.2156923843793	-0.229671794381604	1.10874233736921e-07
MMS1	RAD55	ZEOC	CMPT	-3.53265077811175	15.1293522148386	-0.0356420215482037	0.229583256188465	NEUTRAL	ALLEVIATING	-14.554692092834	-0.265225277736669	9.91592552005529e-06
MUS81	RAD55	ZEOC	CMPT	-3.94998676843408	9.32099320872146	-0.0434805552040245	0.506486099556583	NEUTRAL	ALLEVIATING	-9.9196805916534	-0.549966654760607	0.0019850663204633
RAD51	RAD55	ZEOC	CMPT	6.30295992738308	15.3043111490273	0.060466589792546	0.196884868338656	NEUTRAL	ALLEVIATING	-8.50073964952371	-0.13641827854611	0.00713371252784078
RAD54	RAD55	ZEOC	CMPT	8.27553106447937	23.328655603239	0.0572952463407299	0.231619527292498	NEUTRAL	ALLEVIATING	-14.4020412885145	-0.174324280951768	1.20679650322792e-05
MMS4	RAD57	ZEOC	CMPT	1.05851197724104	11.8710020061675	0.0150762287233355	0.373344912664244	NEUTRAL	ALLEVIATING	-10.3770983931267	-0.358268683940909	0.00128719218198689
PSY3	RAD57	ZEOC	CMPT	-12.6022451927233	2.95693450836904	-0.27469893932827	0.0966871552885026	AGGRAVATING	NEUTRAL	-9.45053454899544	-0.371386094616772	0.00311113030797719
CSM2	RAD59	ZEOC	CMPT	-1.38270091128899	-8.0248003494673	-0.0108696129893854	-0.183559170549913	NEUTRAL	AGGRAVATING	7.13973170613917	0.172689557560528	0.0062272587516316
CSM3	RAD59	ZEOC	CMPT	-2.8378609992698	10.5818817125789	-0.0195279762866533	0.262118679626068	NEUTRAL	ALLEVIATING	-10.9553666788298	-0.281646655912721	0.000709418722329945
