Gene pair	Epsilon	p(Eps==0)	z(Sxy=Sx)	z(Sxy=Sy)	Congruence	# w/ GO term	Sig. GO link	Interaction (P < 0.01)
rad61-swc5	0.020656	5.01E-01	0.199278	-0.677428	0.102837	4207	0	neutral
csm3-swc5	0.020929	4.93E-01	0.175136	-0.861225	0.018393	4096	0	neutral
rad5-mag1	0.020384	4.91E-01	-0.454817	-12.38643	0.251507	150	0	neutral
rad18-rad52	0.020205	4.77E-01	-1.202143	-6.491213	0.080599	150	0	neutral
rad52-mus81	0.021061	4.72E-01	-1.559758	-7.255521	-0.033376	39	0	neutral
rad18-rad61	0.021821	4.57E-01	0.429298	-13.531915	-0.553675	535	0	neutral
rad18-csm2	0.022351	4.45E-01	0.288428	-12.086843	0.160296	150	0	neutral
rad5-swc5	0.022979	4.44E-01	0.579034	-14.213277	0.164072	463	0	neutral
rad5-mph1	0.023236	4.37E-01	0.449713	-12.760566	-0.349932	150	0	neutral
rad55-mph1	0.02409	4.33E-01	-0.530741	-3.72324	0.49749	150	0	neutral
rad52-rtt101	0.022735	4.32E-01	-2.087451	-6.421429	0.23036	97	0	neutral
rad52-shu1	0.023598	4.24E-01	-0.76306	-7.676635	0.632766	150	0	neutral
rad18-shu2	0.023711	4.19E-01	0.166953	-12.616174	0.215407	150	0	neutral
rad18-rad51	0.023324	4.16E-01	-0.592929	-8.934843	0.144641	150	0	neutral
rad5-rad52	0.024022	4.00E-01	-1.092917	-6.47201	0.085139	150	0	neutral
rtt101-rad59	0.025526	3.89E-01	-1.940485	-3.373792	0.415097	97	0	neutral
rad57-mph1	0.027261	3.61E-01	-0.552784	-4.125824	0.451097	150	0	neutral
hpr5-swc5	0.027859	3.60E-01	0.132643	-2.190305	0.240418	463	0	neutral
rad51-mph1	0.027277	3.60E-01	-0.485789	-5.00038	0.547489	150	0	neutral
rad18-mms4	0.028016	3.33E-01	0.104491	-10.763359	-0.468633	150	0	neutral
rad18-swc5	0.029545	3.14E-01	0.598779	-14.157417	0.157889	463	0	neutral
psy3-csm3	0.031175	3.06E-01	-0.654678	-1.747451	-0.152829	4096	0	neutral
rad54-csm3	0.031191	2.96E-01	0.283706	-5.785849	0.580578	4096	0	neutral
rad5-csm2	0.031736	2.88E-01	0.437938	-12.009319	0.157072	150	0	neutral
shu1-mph1	0.032753	2.85E-01	-0.482345	-1.090356	0.47078	150	0	neutral
rad5-psy3	0.031883	2.85E-01	0.39102	-12.453714	0.263312	150	0	neutral
rad54-mms4	0.031878	2.82E-01	-1.772235	-5.167297	0.274884	97	0	neutral
rad18-rad57	0.031006	2.81E-01	0.06739	-9.308479	0.350379	150	0	neutral
rad18-rad55	0.031338	2.81E-01	0.078001	-9.588933	0.272113	150	0	neutral
rad55-shu1	0.034536	2.64E-01	-0.464517	-2.941156	0.806759	150	0	neutral
rad18-rtt107	0.03266	2.58E-01	0.03556	-10.347458	-0.259525	150	0	neutral
rad59-mms4	0.033856	2.57E-01	-2.230964	-2.308302	-0.095445	97	0	neutral
mus81-csm2	0.034277	2.57E-01	-0.943702	-2.328581	-0.043318	127	0	neutral
rad55-mms4	0.035711	2.41E-01	-2.04606	-3.348667	-0.206668	39	0	neutral
rad55-csm3	0.036985	2.31E-01	0.254067	-3.714959	-0.100214	127	0	neutral
rad54-rad61	0.036174	2.27E-01	-0.002638	-6.314073	0.672928	535	0	neutral
rad5-shu2	0.037022	2.16E-01	0.700492	-12.14674	0.213832	150	0	neutral
mms4-csm2	0.038304	2.07E-01	-1.043097	-2.27644	-0.093188	127	0	neutral
rad18-shu1	0.037224	2.04E-01	0.533402	-11.521489	0.188678	150	0	neutral
rtt101-csm3	0.037948	2.04E-01	-0.113814	-4.243921	0.204904	146	0	neutral
rad5-rad51	0.036914	2.03E-01	0.430792	-7.975258	0.122106	150	0	neutral
