Gene pair	Epsilon	p(Eps==0)	z(Sxy=Sx)	z(Sxy=Sy)	Congruence	# w/ GO term	Sig. GO link	Interaction (P < 0.01)
rad5-slx4	-0.003726	9.02E-01	-0.15353	-14.485374	0.108506	463	0	neutral
rad55-swc5	-0.004799	8.77E-01	-0.754172	-5.776455	0.142365	463	0	neutral
rad59-shu1	-0.005508	8.56E-01	-2.011921	-3.252124	0.501752	150	0	neutral
mms1-rad61	-0.005525	8.52E-01	-0.066689	-6.031219	-0.064955	535	0	neutral
slx4-cla4	-0.00643	8.34E-01	-1.648426	-1.806693	0.334152	1437	0	neutral
sgs1-rad59	-0.006341	8.32E-01	-2.336364	-7.837359	0.103598	97	0	neutral
rad57-swc5	-0.00691	8.17E-01	-0.782547	-6.185472	0.057329	242	0	neutral
shu2-swc5	-0.007289	8.11E-01	-0.021252	-2.094771	0.015102	463	0	neutral
mph1-swc5	-0.008182	7.88E-01	-0.603616	-2.516548	0.221499	463	0	neutral
psy3-swc5	-0.009377	7.59E-01	-0.15727	-2.299262	-0.021956	463	0	neutral
rad51-mms4	-0.011084	7.10E-01	-2.896273	-5.447835	0.000457	39	0	neutral
rad52-mms4	-0.010862	7.09E-01	-2.159252	-7.869212	0.093302	39	0	neutral
sgs1-rad61	-0.011714	7.00E-01	-1.224775	-9.505514	0.475634	4207	0	neutral
slx4-swc5	-0.014126	6.45E-01	-0.81259	-1.279915	0.16435	4207	0	neutral
rtt101-shu2	-0.014692	6.22E-01	-1.688263	-4.84384	0.178336	463	0	neutral
rad59-psy3	-0.014876	6.21E-01	-2.353714	-4.04098	0.576	150	0	neutral
rad57-rtt101	-0.014557	6.20E-01	-4.287346	-4.478904	0.247772	97	0	neutral
rtt101-shu1	-0.015028	6.16E-01	-2.117527	-4.733266	0.196877	463	0	neutral
rad59-mph1	-0.015236	6.12E-01	-1.832671	-3.79046	0.184103	150	0	neutral
mph1-csm3	-0.015948	5.98E-01	-1.626365	-2.468192	0.520424	4096	0	neutral
mms4-shu1	-0.016748	5.83E-01	-1.908389	-3.055427	-0.113293	150	0	neutral
rad18-cla4	-0.017214	5.55E-01	0.441205	-13.692345	0.181052	1437	0	neutral
csm2-rad61	-0.018148	5.53E-01	-0.966601	-2.558903	0.320942	535	0	neutral
shu1-rad61	-0.018827	5.44E-01	-0.850273	-2.500524	0.250571	535	0	neutral
rad59-csm3	-0.018792	5.33E-01	-1.307378	-4.060252	-0.161428	4096	0	neutral
rtt101-mms4	-0.018702	5.30E-01	-3.105962	-4.534297	-0.072146	97	0	neutral
csm3-cla4	-0.019782	5.15E-01	-1.670728	-2.39012	-0.396774	140	0	neutral
hpr5-cla4	-0.020651	4.98E-01	-1.539635	-3.51252	0.114946	1437	0	neutral
rad59-csm2	-0.020541	4.95E-01	-2.557306	-3.903524	0.531234	150	0	neutral
mms1-psy3	-0.020355	4.90E-01	-1.814311	-6.520205	0.010322	150	0	neutral
mms1-mus81	-0.021292	4.70E-01	-3.070477	-5.993564	-0.178202	97	0	neutral
mph1-rad61	-0.022065	4.68E-01	-1.496341	-2.528561	0.404465	535	0	neutral
rtt101-mph1	-0.022049	4.59E-01	-1.607666	-4.986882	0.456872	463	0	neutral
rad54-rtt101	-0.022532	4.41E-01	-3.921199	-5.935182	0.21886	97	0	neutral
rad51-swc5	-0.023629	4.30E-01	-1.00094	-7.307359	0.088625	242	0	neutral
rtt107-swc5	-0.025343	4.05E-01	-0.802978	-5.10084	0.297698	463	0	neutral
hpr5-slx4	-0.026576	3.84E-01	-1.176228	-3.036618	0.252404	463	0	neutral
rtt101-csm2	-0.027181	3.63E-01	-2.151066	-4.9143	0.133828	255	0	neutral
rtt101-rad61	-0.027352	3.63E-01	-1.212033	-5.552226	-0.004595	4207	0	neutral
mms1-hpr5	-0.029229	3.20E-01	-1.465258	-5.909332	0.049593	150	0	neutral
rtt107-rad59	-0.030708	3.06E-01	-3.733209	-4.333614	0.120057	97	0	neutral
sgs1-rtt101	-0.030251	3.04E-01	-3.156923	-7.099438	0.263801	97	0	neutral
mag1-csm3	-0.031771	2.94E-01	-2.512092	-4.601729	-0.093753	4096	0	neutral
mag1-hpr5	-0.031705	2.92E-01	-3.152219	-3.94044	0.168231	150	0	neutral
sgs1-mph1	-0.033329	2.72E-01	-2.332698	-9.760087	0.823656	463	0	neutral
sgs1-swc5	-0.033932	2.65E-01	-1.755798	-10.843449	0.137735	463	0	neutral
mus81-csm3	-0.035552	2.39E-01	-1.632558	-4.395715	0.505809	127	0	neutral
mms1-mms4	-0.034803	2.37E-01	-3.420211	-6.378633	-0.182424	97	0	neutral
mms4-slx4	-0.036137	2.35E-01	-1.209257	-4.419511	0.430939	463	0	neutral
rad59-rad61	-0.035885	2.34E-01	-1.552219	-4.506456	0.057546	535	0	neutral
rtt101-hpr5	-0.037976	2.03E-01	-1.774976	-4.611421	0.190511	463	0	neutral
rad52-mph1	-0.038834	1.86E-01	-1.858881	-9.716272	0.50062	150	0	neutral
rad51-mus81	-0.039076	1.85E-01	-3.645126	-6.168672	-0.030266	39	0	neutral
mag1-cla4	-0.040853	1.76E-01	-2.338837	-5.095858	0.172779	1437	0	neutral
rad52-rtt107	-0.041344	1.55E-01	-3.574293	-8.72122	-0.119115	41	0	neutral
shu1-swc5	-0.04414	1.54E-01	-1.33282	-3.84157	0.089401	463	0	neutral
rtt101-rad55	-0.043276	1.48E-01	-4.858563	-5.004885	0.227928	97	0	neutral
rad52-rad61	-0.044666	1.31E-01	-1.474119	-10.189854	0.468843	535	0	neutral
shu2-rad61	-0.046639	1.27E-01	-1.366976	-2.567095	0.328514	535	0	neutral
rtt101-rtt107	-0.045979	1.21E-01	-2.999399	-3.86183	0.655135	97	0	neutral
rtt107-rad61	-0.054233	7.46E-02	-1.415389	-4.879174	0.10517	535	0	neutral
rad51-rtt101	-0.053213	6.97E-02	-4.815098	-5.979252	0.220958	97	0	neutral
rad52-swc5	-0.05404	6.80E-02	-1.884633	-11.366239	0.08821	242	0	neutral
mms4-swc5	-0.055585	6.69E-02	-1.408338	-5.088212	0.014926	463	0	neutral
mms1-rad51	-0.053317	6.69E-02	-5.65895	-6.021165	0.109226	97	0	neutral
rad52-mag1	-0.055203	6.05E-02	-3.44936	-9.973395	-0.150454	150	0	neutral
rtt101-mus81	-0.055521	6.00E-02	-3.788251	-5.15048	0.070628	97	0	neutral
rad61-slx4	-0.059405	5.21E-02	-2.097492	-2.493074	0.002742	4207	0	neutral
csm2-swc5	-0.060203	4.99E-02	-1.593507	-4.032141	0.157629	463	0	neutral
shu1-slx4	-0.060541	4.93E-02	-1.786095	-3.847931	-0.386206	463	0	neutral
csm3-rad61	-0.063592	3.71E-02	-0.415571	-0.581976	0.680535	4207	0	neutral
rad55-mus81	-0.0647	3.37E-02	-4.193056	-5.402954	-0.162525	39	0	neutral
rad52-slx4	-0.063773	3.15E-02	-2.102112	-11.146892	-0.397814	463	0	neutral
rtt107-mph1	-0.066767	2.70E-02	-2.780424	-5.304558	0.437958	150	0	neutral
rad54-mus81	-0.065479	2.69E-02	-3.833494	-7.201217	0.355658	97	0	neutral
rad52-csm3	-0.06532	2.65E-02	-1.931336	-10.377157	0.208207	127	0	neutral
mus81-mag1	-0.07036	1.86E-02	-4.53329	-5.284081	0.011631	150	0	neutral
